Rk,Player,Tm,FGP,Opp,W-or-L,MP,FG,FGA,FG_PERCENT,threeP,3PA,THREE_PERCENT,FT,FTA,FT_PERCENT,AST,TOV,PF,PTS,Usage,GmSc,FPM
111,Russell Westbrook,LAC,,MIN,L,29:00,3,11,.273,1,5,.200,4,5,.800,3,1,2,11,-21,7.0,westbru01
112,Bobby Portis,MIL,,DEN,W,25:21,6,14,.429,1,3,.333,0,0,,3,3,2,13,+8,6.7,portibo01
113,Zach Collins,SAS,@,TOR,W,19:01,2,5,.400,0,1,.000,2,2,1.000,3,0,2,6,+3,6.6,colliza01
114,Andre Drummond,CHI,@,ATL,W,16:10,3,7,.429,0,1,.000,1,2,.500,0,0,2,7,+4,6.6,drumman01
115,A.J. Green,MIL,,DEN,W,15:25,3,5,.600,3,5,.600,0,0,,1,0,2,9,+7,6.6,greenaj01
116,Jaden McDaniels,MIN,@,LAC,W,25:25,5,8,.625,1,4,.250,0,0,,1,2,3,11,+8,6.6,mcdanja02
117,Yuta Watanabe,MEM,,NOP,L,25:00,5,12,.417,1,7,.143,0,0,,1,1,1,11,-1,6.5,watanyu01
118,Naz Reid,MIN,@,LAC,W,26:44,5,9,.556,1,2,.500,0,0,,1,2,3,11,+17,6.3,reidna01
119,Trey Jemison,MEM,,NOP,L,17:44,3,4,.750,0,0,,0,0,,1,2,4,6,+12,6.1,jemistr01
120,Jonathan Kuminga,GSW,@,UTA,W,27:06,4,10,.400,1,1,1.000,5,6,.833,0,3,2,14,-4,6.1,kuminjo01
121,Jonas Valančiūnas,NOP,@,MEM,W,17:30,1,4,.250,0,1,.000,4,6,.667,3,1,3,6,-17,6.0,valanjo01
122,Blake Wesley,SAS,@,TOR,W,19:55,3,5,.600,1,1,1.000,3,4,.750,2,4,1,10,+1,5.9,weslebl01
123,Luke Kennard,MEM,,NOP,L,28:37,4,10,.400,4,9,.444,0,0,,1,2,1,12,-2,5.8,kennalu01
124,Reggie Jackson,DEN,@,MIL,L,22:06,3,7,.429,1,2,.500,0,0,,3,0,0,7,-1,5.7,jacksre01
125,Lamar Stevens,MEM,,NOP,L,26:20,5,10,.500,0,1,.000,0,0,,0,2,3,10,-2,5.7,stevela01
126,Monte Morris,MIN,@,LAC,W,18:28,2,5,.400,1,4,.250,0,0,,2,0,1,5,+10,5.6,morrimo01
127,Isaiah Jackson,IND,@,CHO,L,16:34,2,3,.667,0,0,,0,2,.000,1,0,1,4,-15,5.5,jacksis01
